ID,MSSUBCLASS,MSZONING,LOTFRONTAGE,LOTAREA,STREET,ALLEY,LOTSHAPE,LANDCONTOUR,UTILITIES,LOTCONFIG,LANDSLOPE,NEIGHBORHOOD,CONDITION1,CONDITION2,BLDGTYPE,HOUSESTYLE,OVERALLQUAL,OVERALLCOND,YEARBUILT,YEARREMODADD,ROOFSTYLE,ROOFMATL,EXTERIOR1ST,EXTERIOR2ND,MASVNRTYPE,MASVNRAREA,EXTERQUAL,EXTERCOND,FOUNDATION,BSMTQUAL,BSMTCOND,BSMTEXPOSURE,BSMTFINTYPE1,BSMTFINSF1,BSMTFINTYPE2,BSMTFINSF2,BSMTUNFSF,TOTALBSMTSF,HEATING,HEATINGQC,CENTRALAIR,ELECTRICAL,1STFLRSF,2NDFLRSF,LOWQUALFINSF,GRLIVAREA,BSMTFULLBATH,BSMTHALFBATH,FULLBATH,HALFBATH,BEDROOMABVGR,KITCHENABVGR,KITCHENQUAL,TOTRMSABVGRD,FUNCTIONAL,FIREPLACES,FIREPLACEQU,GARAGETYPE,GARAGEFINISH,GARAGECARS,GARAGEAREA,GARAGEQUAL,GARAGECOND,PAVEDDRIVE,WOODDECKSF,OPENPORCHSF,ENCLOSEDPORCH,3SSNPORCH,SCREENPORCH,FENCE,MISCFEATURE,MISCVAL,MOSOLD,YRSOLD,SALETYPE,SALECONDITION,SALEPRICE,HASGARAGE,HASPOOL
1,60,RL,65.0,8450.0,PAVE,NA,REG,LVL,ALLPUB,INSIDE,GTL,COLLGCR,NORM,NORM,1FAM,2STORY,7,5,2003,2003,GABLE,COMPSHG,VINYLSD,VINYLSD,BRKFACE,196.0,GD,TA,PCONC,GD,TA,GD,GLQ,706.0,TA,0.0,150.0,856.0,GASA,EX,Y,SBRKR,856.0,854.0,0.0,1710.0,1,0,2,1,3,1,GD,8,TYP,0,NA,ATTCHD,ATTCHD,2,548.0,ATTCHD,ATTCHD,Y,0.0,61.0,0.0,0.0,0.0,NA,NA,0,2,2008,WD,NORMAL,208500,True,False
2,20,RL,80.0,9600.0,PAVE,NA,REG,LVL,ALLPUB,FR2,GTL,VEENKER,FEEDR,NORM,1FAM,1STORY,6,8,1976,1976,GABLE,COMPSHG,METALSD,METALSD,None,0.0,TA,TA,CBLOCK,GD,TA,GD,ALQ,978.0,TA,0.0,284.0,1262.0,GASA,EX,Y,SBRKR,1262.0,0.0,0.0,1262.0,0,1,2,0,3,1,TA,6,TYP,1,TA,ATTCHD,ATTCHD,2,460.0,ATTCHD,ATTCHD,Y,298.0,0.0,0.0,0.0,0.0,NA,NA,0,5,2007,WD,NORMAL,181500,True,False
3,60,RL,68.0,11250.0,PAVE,NA,IR1,LVL,ALLPUB,INSIDE,GTL,COLLGCR,NORM,NORM,1FAM,2STORY,7,5,2001,2002,GABLE,COMPSHG,VINYLSD,VINYLSD,BRKFACE,162.0,GD,TA,PCONC,GD,TA,GD,GLQ,486.0,TA,0.0,434.0,920.0,GASA,EX,Y,SBRKR,920.0,866.0,0.0,1786.0,1,0,2,1,3,1,GD,6,TYP,1,TA,ATTCHD,ATTCHD,2,608.0,ATTCHD,ATTCHD,Y,0.0,42.0,0.0,0.0,0.0,NA,NA,0,9,2008,WD,NORMAL,223500,True,False
4,70,RL,60.0,9550.0,PAVE,NA,IR1,LVL,ALLPUB,CORNER,GTL,CRAWFOR,NORM,NORM,1FAM,2STORY,7,5,1915,1970,GABLE,COMPSHG,WD SDNG,WD SHNG,None,0.0,TA,TA,BRKTIL,TA,GD,TA,ALQ,216.0,GD,0.0,540.0,756.0,GASA,GD,Y,SBRKR,961.0,756.0,0.0,1717.0,1,0,1,0,3,1,GD,7,TYP,1,GD,DETCHD,DETCHD,3,642.0,DETCHD,DETCHD,Y,0.0,35.0,272.0,0.0,0.0,NA,NA,0,2,2006,WD,ABNORML,140000,True,False
5,60,RL,84.0,14260.0,PAVE,NA,IR1,LVL,ALLPUB,FR2,GTL,NORIDGE,NORM,NORM,1FAM,2STORY,8,5,2000,2000,GABLE,COMPSHG,VINYLSD,VINYLSD,BRKFACE,350.0,GD,TA,PCONC,GD,TA,GD,GLQ,655.0,TA,0.0,490.0,1145.0,GASA,EX,Y,SBRKR,1145.0,1053.0,0.0,2198.0,1,0,2,1,4,1,GD,9,TYP,1,TA,ATTCHD,ATTCHD,3,836.0,ATTCHD,ATTCHD,Y,192.0,84.0,0.0,0.0,0.0,NA,NA,0,12,2008,WD,NORMAL,250000,True,False
6,50,RL,85.0,14115.0,PAVE,SHED,IR1,LVL,ALLPUB,INSIDE,GTL,MITCHEL,NORM,NORM,1FAM,1.5FIN,5,5,1993,1995,GABLE,COMPSHG,VINYLSD,VINYLSD,None,0.0,TA,TA,WOOD,GD,TA,GD,GLQ,732.0,TA,0.0,64.0,796.0,GASA,EX,Y,SBRKR,796.0,566.0,0.0,1362.0,1,0,1,1,1,1,TA,5,TYP,0,NA,ATTCHD,ATTCHD,2,480.0,ATTCHD,ATTCHD,Y,40.0,30.0,0.0,320.0,0.0,SHED,SHED,700,10,2009,WD,NORMAL,143000,True,False
7,20,RL,75.0,10084.0,PAVE,NA,REG,LVL,ALLPUB,INSIDE,GTL,SOMERST,NORM,NORM,1FAM,1STORY,8,5,2004,2005,GABLE,COMPSHG,VINYLSD,VINYLSD,STONE,186.0,GD,TA,PCONC,EX,TA,EX,GLQ,1369.0,TA,0.0,317.0,1686.0,GASA,EX,Y,SBRKR,1694.0,0.0,0.0,1694.0,1,0,2,0,3,1,GD,7,TYP,1,GD,ATTCHD,ATTCHD,2,636.0,ATTCHD,ATTCHD,Y,255.0,57.0,0.0,0.0,0.0,NA,NA,0,8,2007,WD,NORMAL,307000,True,False
8,60,RL,0.0,10382.0,PAVE,SHED,IR1,LVL,ALLPUB,CORNER,GTL,NWAMES,POSN,NORM,1FAM,2STORY,7,6,1973,1973,GABLE,COMPSHG,HDBOARD,HDBOARD,STONE,240.0,TA,TA,CBLOCK,GD,TA,GD,ALQ,859.0,TA,32.0,216.0,1107.0,GASA,EX,Y,SBRKR,1107.0,983.0,0.0,2090.0,1,0,2,1,3,1,TA,7,TYP,2,TA,ATTCHD,ATTCHD,2,484.0,ATTCHD,ATTCHD,Y,235.0,204.0,228.0,0.0,0.0,SHED,SHED,350,11,2009,WD,NORMAL,200000,True,False
9,50,RM,51.0,6120.0,PAVE,NA,REG,LVL,ALLPUB,INSIDE,GTL,OLDTOWN,ARTERY,NORM,1FAM,1.5FIN,7,5,1931,1950,GABLE,COMPSHG,BRKFACE,WD SHNG,None,0.0,TA,TA,BRKTIL,TA,TA,TA,UNF,0.0,TA,0.0,952.0,952.0,GASA,GD,Y,FUSEF,1022.0,752.0,0.0,1774.0,0,0,2,0,2,2,TA,8,MIN1,2,TA,DETCHD,DETCHD,2,468.0,DETCHD,DETCHD,Y,90.0,0.0,205.0,0.0,0.0,NA,NA,0,4,2008,WD,ABNORML,129900,True,False
10,190,RL,50.0,7420.0,PAVE,NA,REG,LVL,ALLPUB,CORNER,GTL,BRKSIDE,ARTERY,ARTERY,2FMCON,1.5UNF,5,6,1939,1950,GABLE,COMPSHG,METALSD,METALSD,None,0.0,TA,TA,BRKTIL,TA,TA,TA,GLQ,851.0,TA,0.0,140.0,991.0,GASA,EX,Y,SBRKR,1077.0,0.0,0.0,1077.0,1,0,1,0,2,2,TA,5,TYP,2,TA,ATTCHD,ATTCHD,1,205.0,ATTCHD,ATTCHD,Y,0.0,4.0,0.0,0.0,0.0,NA,NA,0,1,2008,WD,NORMAL,118000,True,False
